id,input_text,output_text,direction,tone,,
1,Bhai ajke matha totally noshto,Dude my brain is completely fried today,banglish_to_english,casual,,
2,I'm literally dying from cringe rn,Ami literally cringe e mori jacchi ekhon,english_to_banglish,unhinged,,
3,Ei faltu meeting ta kobe shesh hobe,When will this useless meeting finally end,banglish_to_english,professional,,
4,Boss is being extra today ngl,Boss ajke beshi i pagol hoise,english_to_banglish,casual,,
5,Mama tui ghost koros keno,Bro why do you always ghost people,banglish_to_english,casual,,
6,That's sus as hell tbh,Eta pura shondeho jonok lagche,english_to_banglish,casual,,
7,Biryani chara jibon meaningless,Life is meaningless without biryani,banglish_to_english,unhinged,,
8,No cap this slaps different,Sotti kotha eta alada level e bhalo,english_to_banglish,casual,,
9,Kal exam thakte ajke party,Party today when exam is tomorrow,banglish_to_english,unhinged,,
10,I'm broke af send help,Ami ekdom kangal hoye gesi help dao,english_to_banglish,casual,,
11,Rickshaw wala uncle speed e jao,Uncle rickshaw driver please go faster,banglish_to_english,casual,,
12,My crush is lowkey ignoring me,Amar crush amake ignore korche mone hoy,english_to_banglish,casual,,
13,Load shedding e mobile dead,Phone died during power outage,banglish_to_english,casual,,
14,This weather is absolutely sending me,Ei weather ta amake pura pagol kore dise,english_to_banglish,unhinged,,
15,Khala tumi amake kyno call koros,Aunty why do you keep calling me,banglish_to_english,professional,,
16,It's giving main character energy,Eta main character er moto lagche,english_to_banglish,casual,,
17,Eid shopping e pocket faka,Broke from Eid shopping spree,banglish_to_english,casual,,
18,Touch grass bestie you need it,Baire ja bestie tomar dorkar,english_to_banglish,unhinged,,
19,Internet speed ajke turtle er moto,Internet speed is like a turtle today,banglish_to_english,casual,,
20,We're cooked if mom finds out,Amma jante parle amra finished,english_to_banglish,unhinged,,
